GeneSymbol,NK.Sp#1.1,NK.Sp#1.10,NK.Sp#1.11,NK.Sp#1.12,NK.Sp#1.13,NK.Sp#1.14,NK.Sp#1.15,NK.Sp#1.16,NK.Sp#1.17,NK.Sp#1.18,NK.Sp#1.2,NK.Sp#1.3,NK.Sp#1.4,NK.Sp#1.5,NK.Sp#1.6,NK.Sp#1.7,NK.Sp#1.8,NK.Sp#1.9,Rowsum
0610005C13Rik,0,1,3,2,0,0,0,2,1,3,0,0,1,1,0,0,0,0,0.777777778
0610006L08Rik,0,0,0,1,0,0,4,0,0,0,0,3,0,1,0,0,1,0,0.555555556
0610009B22Rik,16,20,34,22,14,13,23,19,17,45,46,5,22,23,23,15,7,21,21.38888889
0610009E02Rik,1,0,3,3,0,2,0,1,0,1,0,0,4,0,0,0,1,0,0.888888889
0610009L18Rik,7,12,28,9,17,13,13,10,9,10,10,8,11,7,10,6,4,7,10.61111111
0610010F05Rik,149,92,224,112,140,100,153,125,61,120,177,49,138,149,140,121,66,117,124.0555556
0610010K14Rik,9,16,13,15,14,10,11,7,18,8,12,5,16,6,19,14,7,16,12
0610012D04Rik,12,23,33,28,31,18,16,21,5,0,50,12,20,13,24,25,18,16,20.27777778
0610012G03Rik,76,75,143,94,99,105,98,86,77,139,124,14,69,117,82,76,43,87,89.11111111
0610025J13Rik,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0.277777778
0610030E20Rik,299,201,465,237,297,309,288,278,174,154,444,77,288,317,252,261,181,240,264.5555556
0610031O16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610033M10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610038B21Rik,4,6,5,7,8,9,5,6,3,2,23,3,18,9,10,13,5,7,7.944444444
0610039K10Rik,3,0,10,6,8,7,3,0,0,2,8,1,18,8,11,5,3,3,5.333333333
0610040B10Rik,10,5,5,5,10,6,5,8,4,4,10,2,13,6,9,11,1,10,6.888888889
0610040F04Rik,0,0,0,1,1,5,0,0,0,0,2,0,1,0,0,1,0,0,0.611111111
0610040J01Rik,0,2,0,1,1,4,1,1,0,64,0,0,0,4,2,0,0,1,4.5
0610043K17Rik,1,3,3,2,2,2,0,2,3,1,2,1,3,2,3,4,1,5,2.222222222
0710001A04Rik,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556
1010001B22Rik,1,0,0,0,0,0,0,1,2,3,2,0,6,0,1,3,0,0,1.055555556
1100001I12Rik,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556
1110002E22Rik,0,3,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0.5
1110002J07Rik,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0.277777778
1110002L01Rik,19,15,44,19,26,20,18,23,21,8,25,7,19,28,26,23,16,16,20.72222222
1110002O04Rik,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111
1110003F10Rik,1,2,2,3,8,1,7,5,4,1,10,1,8,1,7,1,0,0,3.444444444
1110004F10Rik,299,209,556,313,309,283,331,354,291,271,489,83,315,349,323,292,126,278,303.9444444
1110006O24Rik,5,1,11,3,1,2,4,4,3,4,11,1,3,3,10,5,0,8,4.388888889
1110008E08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110008P14Rik,89,41,211,94,87,70,137,106,70,53,182,13,108,111,92,73,37,65,91.05555556
1110012L19Rik,44,38,96,65,59,47,81,30,33,30,74,24,60,65,57,41,26,47,50.94444444
1110013H19Rik,0,0,0,1,0,3,0,1,2,0,7,0,0,3,2,1,0,1,1.166666667
1110015O18Rik,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0.222222222
1110017D15Rik,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0.277777778
1110018N20Rik,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.277777778
1110019B22Rik,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0.5
