Sample_ID	Source	Library	Filename
B16F10_m1	Tumor	msurfeov2	NKscreen_S5F01_trim_v2_align_count_v2.txt
B16F10_m1	Spleen	msurfeov2	NKscreen_S5F02_trim_v2_align_count_v2.txt
B16F10_m2	Tumor	msurfeov2	NKscreen_S5F03_trim_v2_align_count_v2.txt
B16F10_m2	Spleen	msurfeov2	NKscreen_S5F04_trim_v2_align_count_v2.txt
B16F10_m3	Tumor	msurfeov2	NKscreen_S5F05_trim_v2_align_count_v2.txt
B16F10_m3	Spleen	msurfeov2	NKscreen_S5F06_trim_v2_align_count_v2.txt
B16F10_m4	Tumor	msurfeov2	NKscreen_S5F07_trim_v2_align_count_v2.txt
B16F10_m4	Spleen	msurfeov2	NKscreen_S5F08_trim_v2_align_count_v2.txt
B16F10_m5	Tumor	msurfeov2	NKscreen_S5F09_trim_v2_align_count_v2.txt
B16F10_m5	Spleen	msurfeov2	NKscreen_S5F10_trim_v2_align_count_v2.txt
B16F10_m6	Tumor	msurfeov2	NKscreen_S5F11_trim_v2_align_count_v2.txt
B16F10_m6	Spleen	msurfeov2	NKscreen_S5F12_trim_v2_align_count_v2.txt
B16F10_m7	Tumor	msurfeov2	NKscreen_S6F01_trim_v2_align_count_v2.txt
B16F10_m7	Spleen	msurfeov2	NKscreen_S6F02_trim_v2_align_count_v2.txt
B16F10_m8	Tumor	msurfeov2	NKscreen_S6F03_trim_v2_align_count_v2.txt
B16F10_m8	Spleen	msurfeov2	NKscreen_S6F04_trim_v2_align_count_v2.txt
B16F10_m9	Tumor	msurfeov2	NKscreen_S6F05_trim_v2_align_count_v2.txt
B16F10_m9	Spleen	msurfeov2	NKscreen_S6F06_trim_v2_align_count_v2.txt
B16F10_m10	Spleen	msurfeov2	NKscreen_S6F07_trim_v2_align_count_v2.txt
B16F10_m11	Spleen	msurfeov2	NKscreen_S6F08_trim_v2_align_count_v2.txt
E0771_m1	Tumor	msurfeov2	NKscreen_S6F09_trim_v2_align_count_v2.txt
E0771_m1	Spleen	msurfeov2	NKscreen_S6F10_trim_v2_align_count_v2.txt
E0771_m2	Tumor	msurfeov2	NKscreen_S6F11_trim_v2_align_count_v2.txt
E0771_m2	Spleen	msurfeov2	NKscreen_S6F12_trim_v2_align_count_v2.txt
E0771_m3	Tumor	msurfeov2	NKscreen_S7F01_trim_v2_align_count_v2.txt
E0771_m3	Spleen	msurfeov2	NKscreen_S7F02_trim_v2_align_count_v2.txt
E0771_m4	Tumor	msurfeov2	NKscreen_S7F03_trim_v2_align_count_v2.txt
E0771_m4	Spleen	msurfeov2	NKscreen_S7F04_trim_v2_align_count_v2.txt
E0771_m5	Tumor	msurfeov2	NKscreen_S7F05_trim_v2_align_count_v2.txt
E0771_m5	Spleen	msurfeov2	NKscreen_S7F06_trim_v2_align_count_v2.txt
E0771_m6	Tumor	msurfeov2	NKscreen_S7F07_trim_v2_align_count_v2.txt
E0771_m6	Spleen	msurfeov2	NKscreen_S7F08_trim_v2_align_count_v2.txt
E0771_m7	Tumor	msurfeov2	NKscreen_S7F09_trim_v2_align_count_v2.txt
E0771_m7	Spleen	msurfeov2	NKscreen_S7F10_trim_v2_align_count_v2.txt
