gene_name	gene_type
4933401J01Rik	TEC
Gm26206	snRNA
Xkr4	protein_coding
Gm18956	processed_pseudogene
Gm37180	TEC
Gm37363	TEC
Gm37686	TEC
Gm1992	antisense
Gm37329	TEC
Gm7341	processed_pseudogene
Gm38148	TEC
Gm19938	sense_intronic
Gm10568	TEC
Gm38385	TEC
Gm27396	snRNA
Gm37381	lincRNA
Rp1	protein_coding
Gm6101	processed_pseudogene
Gm37483	TEC
Sox17	protein_coding
Gm37587	processed_transcript
Gm7357	processed_pseudogene
Gm22307	snRNA
Gm38076	processed_pseudogene
Gm37323	lincRNA
Gm7369	processed_pseudogene
Gm6085	processed_pseudogene
Gm6119	processed_pseudogene
Gm25493	snRNA
Gm2053	processed_pseudogene
Gm6123	processed_pseudogene
Mrpl15	protein_coding
Gm37144	TEC
Lypla1	protein_coding
Gm37988	protein_coding
Tcea1	protein_coding
Gm6104	processed_pseudogene
Gm37277	TEC
Rgs20	protein_coding
Gm17100	processed_pseudogene
Gm37079	TEC
Gm16041	antisense
Gm17101	processed_pseudogene
Atp6v1h	protein_coding
Gm7182	processed_pseudogene
Gm37567	TEC
Gm38264	TEC
Oprk1	protein_coding
Gm36965	processed_pseudogene
Gm22463	miRNA
Gm37429	TEC
Npbwr1	protein_coding
Gm19214	processed_pseudogene
Rb1cc1	protein_coding
4732440D04Rik	antisense
Alkal1	protein_coding
Gm2147	processed_pseudogene
Gm7417	processed_pseudogene
Gm19026	processed_pseudogene
St18	protein_coding
Gm42492	TEC
Gm7449	processed_pseudogene
Gm37108	processed_pseudogene
Gm37275	processed_pseudogene
Gm37225	processed_pseudogene
Gm37489	processed_pseudogene
Gm5694	processed_pseudogene
Pcmtd1	protein_coding
Gm26983	processed_pseudogene
Gm38372	TEC
Gm9826	processed_pseudogene
Nras-ps2	processed_pseudogene
Gm23274	snoRNA
Gm19002	processed_pseudogene
Gm26901	lincRNA
Gm18984	processed_pseudogene
Gm30414	lincRNA
Gm37791	processed_pseudogene
Gm7470	processed_pseudogene
Rps2-ps2	processed_pseudogene
Gm38216	processed_pseudogene
Sntg1	protein_coding
Gm38024	TEC
Gm16284	processed_pseudogene
Gm38259	TEC
Gm23358	miRNA
Gm37005	TEC
Gm15452	processed_pseudogene
Gm36964	processed_pseudogene
Gm24276	miRNA
Gm6152	processed_pseudogene
Gm7445	processed_pseudogene
Gm7493	processed_pseudogene
Gm37629	TEC
Gm38008	processed_pseudogene
Gm37143	TEC
Gm6187	processed_pseudogene
Gm18299	processed_pseudogene
Gm7512	processed_pseudogene
Gm24765	snRNA
Gm18300	processed_pseudogene
Rrs1	protein_coding
Adhfe1	protein_coding
2610203C22Rik	processed_transcript
Gm6161	processed_pseudogene
Vxn	protein_coding
Gm29520	lincRNA
Mybl1	protein_coding
Vcpip1	protein_coding
1700034P13Rik	antisense
Sgk3	protein_coding
Gm6195	processed_pseudogene
Gm22607	snRNA
Mcmdc2	protein_coding
Snhg6	lincRNA
Snord87	snoRNA
Tcf24	protein_coding
E330040D14Rik	TEC
Ppp1r42	protein_coding
Gm15818	antisense
Gm24674	snRNA
Cops5	protein_coding
Cspp1	protein_coding
1700047N06Rik	TEC
Arfgef1	protein_coding
Gm26348	misc_RNA
Gm37569	TEC
Cpa6	protein_coding
Gm38005	TEC
Gm15604	processed_pseudogene
Gm25253	snRNA
Gm15603	processed_pseudogene
Gm37133	TEC
Gm5522	processed_pseudogene
Gm28659	processed_pseudogene
Gm22963	snoRNA
Prex2	protein_coding
Gm24173	snoRNA
Gm28686	processed_pseudogene
Gm37410	TEC
A830018L16Rik	protein_coding
Gm38178	TEC
Gm29273	processed_pseudogene
Gm38069	TEC
Gm7560	processed_pseudogene
Gm22633	snRNA
Mir6341	miRNA
Gm2383	processed_pseudogene
Gm6216	processed_pseudogene
Gm17644	lincRNA
Gm29663	lincRNA
Sulf1	protein_coding
Slco5a1	protein_coding
Gm37162	TEC
Gm5250	processed_pseudogene
Gm29283	lincRNA
Prdm14	protein_coding
Ncoa2	protein_coding
Gm38376	TEC
Gm37409	TEC
Gm27881	miRNA
Gm38223	TEC
Gm37702	TEC
Gm23169	snRNA
Gm38120	TEC
Gm38380	TEC
Gm29570	antisense
Gm7593	processed_pseudogene
Tram1	protein_coding
Lactb2	protein_coding
Gm38319	TEC
Xkr9	protein_coding
Gm26273	snoRNA
Gm5523	processed_pseudogene
Gm36947	TEC
Gm25491	misc_RNA
Gm37400	TEC
Eya1	protein_coding
Gm22616	miRNA
Gm37444	TEC
Gm9947	antisense
Msc	protein_coding
Gm37412	TEC
Smt3h2-ps4	processed_pseudogene
Rpl5-ps1	processed_pseudogene
Trpa1	protein_coding
Gm26345	snoRNA
Gm10566	processed_pseudogene
Kcnb2	protein_coding
Gm38116	TEC
Gm37138	TEC
